ordem	conjunto	post	slides	urls
014	arte	54_desobediencia	4	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/54_desobediencia/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/54_desobediencia/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/54_desobediencia/03.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/54_desobediencia/04.jpg
015	arte	07_nao_e_e	7	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/03.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/04.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/05.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/06.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/07.jpg
016	arte	29_o_tempo_ensina_a_confiar	3	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/29_o_tempo_ensina_a_confiar/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/29_o_tempo_ensina_a_confiar/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/29_o_tempo_ensina_a_confiar/03.jpg
017	arte	21_a_vaga_que_voce_espera	5	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/03.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/04.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/05.jpg
018	arte	06_carga_pesada	6	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/03.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/04.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/05.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/06.jpg
019	arte	111_deixe_cicatrizar	4	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/111_deixe_cicatrizar/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/111_deixe_cicatrizar/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/111_deixe_cicatrizar/03.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/111_deixe_cicatrizar/04.jpg
020	arte	08_escolher_e_metodo	7	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/03.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/04.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/05.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/06.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/07.jpg
021	arte	73_o_que_nunca_foi_seu	4	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/73_o_que_nunca_foi_seu/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/73_o_que_nunca_foi_seu/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/73_o_que_nunca_foi_seu/03.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/73_o_que_nunca_foi_seu/04.jpg
022	arte	51_nada_e_mais_barulhento	3	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/51_nada_e_mais_barulhento/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/51_nada_e_mais_barulhento/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/51_nada_e_mais_barulhento/03.jpg
023	arte	22_quem_vai_embora_te_devolve	5	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/22_quem_vai_embora_te_devolve/01.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/22_quem_vai_embora_te_devolve/02.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/22_quem_vai_embora_te_devolve/03.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/22_quem_vai_embora_te_devolve/04.jpg	https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/22_quem_vai_embora_te_devolve/05.jpg
