,Caber não é encolher · Alguns lugares deixam de acompanhar quem você está se tornando  —  @UmRabiscoPsi,,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/48_caber_nao_e_encolher/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/48_caber_nao_e_encolher/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/48_caber_nao_e_encolher/03.jpg
,"A expectativa do outro é um lugar estreito demais para você morar · A vida melhorou um tanto depois que parei de tentar caber · Se você sempre se adapta, em que momento você é você?  —  @UmRabiscoPsi",,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/18_em_que_momento/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/18_em_que_momento/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/18_em_que_momento/03.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/18_em_que_momento/04.jpg
,Repetindo padrões você pode ter um longo passado pela frente · Não deixe os traumas te guiarem e você chamar isso de intuição · Você pode ganhar um cabo de guerra soltando a corda  —  @UmRabiscoPsi,,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/97_um_longo_passado_pela_frente/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/97_um_longo_passado_pela_frente/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/97_um_longo_passado_pela_frente/03.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/97_um_longo_passado_pela_frente/04.jpg
,Escolher a si mesmo é assumir a posição de desobediência · Quem ensinou essa mulher que ela precisa pedir permissão para ocupar o próprio espaço? · Não troque autenticidade por aprovação  —  @UmRabiscoPsi,,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/54_desobediencia/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/54_desobediencia/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/54_desobediencia/03.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/54_desobediencia/04.jpg
,"Cair em si não é tropeço, é voo · Amor não é insistência, é alinhamento · Tentar agradar todo mundo não é amor, é medo · Não é falta de tempo, é você com pressa · Arrependimento não é quando você chora, é quando você muda · Confiar não é saber tudo sobre alguém, é não precisar saber  —  @UmRabiscoPsi",,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/03.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/04.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/05.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/06.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/07_nao_e_e/07.jpg
,"Enquanto a pressa tenta controlar, o tempo ensina a confiar · O tempo só amadurece os interessados, o restante apenas envelhece  —  @UmRabiscoPsi",,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/29_o_tempo_ensina_a_confiar/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/29_o_tempo_ensina_a_confiar/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/29_o_tempo_ensina_a_confiar/03.jpg
,"A gente precisa parar de esperar uma vaga na vida das pessoas · Uma porta entreaberta dói mais que uma porta fechada · Ser útil não é ser amada · Se é mais ou menos, não é para ser  —  @UmRabiscoPsi",,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/03.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/04.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/21_a_vaga_que_voce_espera/05.jpg
,"Não é porque você está aguentando que a carga não está pesada · Nem tudo que pesa é pra carregar · Liberte-se do peso de agradar os outros · Aprender a não carregar tudo, o tempo todo, em silêncio · A pausa não te atrasa, ela sustenta  —  @UmRabiscoPsi",,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/03.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/04.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/05.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/06_carga_pesada/06.jpg
,"Deixe acabar, deixe doer, deixe ir embora, deixe cicatrizar · Eu não era chata ou complicada, eu tinha necessidades não atendidas · Bendito seja o incômodo que te faz sair de um lugar que não te cabe  —  @UmRabiscoPsi",,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/111_deixe_cicatrizar/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/111_deixe_cicatrizar/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/111_deixe_cicatrizar/03.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/111_deixe_cicatrizar/04.jpg
,"Escolher como você enxerga não é positividade tóxica · Dessa vez, escolha você primeiro · Escolha pessoas que escolhem você · Você é mais valioso, se escolha mais vezes · Escolha quem defende seu nome quando você não está presente · Quanto mais você ama suas escolhas, menos precisa que os outros as amem  —  @UmRabiscoPsi",,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/01.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/02.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/03.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/04.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/05.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/06.jpg,https://gabriel20angelo-web.github.io/umrabisco-imagens/arte/08_escolher_e_metodo/07.jpg
